url,label
http://google.com,0
https://www.google.com,0
http://facebook.com,0
https://www.facebook.com,0
http://amazon.com,0
https://www.amazon.com,0
http://apple.com,0
https://www.apple.com,0
http://microsoft.com,0
https://www.microsoft.com,0
http://netflix.com,0
https://www.netflix.com,0
http://paypal.com,0
https://www.paypal.com,0
http://dropbox.com,0
https://www.dropbox.com,0
http://twitter.com,0
https://www.twitter.com,0
http://instagram.com,0
https://www.instagram.com,0
http://linkedin.com,0
https://www.linkedin.com,0
http://github.com,0
https://www.github.com,0
http://stackoverflow.com,0
https://www.stackoverflow.com,0
http://wikipedia.org,0
https://www.wikipedia.org,0
http://cnn.com,0
https://www.cnn.com,0
http://bbc.co.uk,0
https://www.bbc.co.uk,0
http://nytimes.com,0
https://www.nytimes.com,0
http://secure-login.xyz,1
http://paypal-secure.com,1
http://apple-id-verify.top,1
http://microsoft-update.win,1
http://netflix-billing.gq,1
http://amazon-prime-refund.cn,1
http://facebook-security-check.tk,1
http://instagram-verify-badge.ml,1
http://twitter-blue-badge.ga,1
http://linkedin-job-offer.cf,1
http://dropbox-share-file.dq,1
http://192.168.1.1/login,1
http://10.0.0.1/admin,1
http://verify-account-security.com,1
http://update-payment-info.net,1
http://confirm-identity-now.org,1
http://login-secure-access.com,1
http://account-recovery-help.net,1
http://billing-issue-resolve.com,1
http://support-center-ticket.com,1
http://customer-service-chat.net,1
http://free-gift-card-claim.com,1
http://win-iphone-now.net,1
http://crypto-giveaway-bonus.com,1
http://invest-bitcoin-profit.net,1
http://forex-trading-signals.com,1
http://paypaI.com,1
http://faceboook.com,1
http://googIe.com,1
http://amazonn.com,1
http://microsft.com,1
http://appIe.com,1
http://netfIix.com,1
http://dropb0x.com,1
http://twittter.com,1
http://linkedln.com,1
http://github.com,1
